category_type,name,parent_name
part,Двигатель,
part,Тормоза,
part,Подвеска,
part,Фильтры,
part,Электрика,
part,Трансмиссия,
part,Кузов,
part,Охлаждение,
part,Выхлопная система,
part,Рулевое управление,
part,Масла и жидкости,
part,Шины и диски,
part,Осветительные приборы,
part,Приводной ремень,Двигатель
part,Поршни и кольца,Двигатель
part,Тормозные колодки,Тормоза
part,Тормозные диски,Тормоза
part,Амортизаторы,Подвеска
part,Пружины,Подвеска
part,Воздушный фильтр,Фильтры
part,Масляный фильтр,Фильтры
part,Топливный фильтр,Фильтры
service,Замена масла,
service,Развал-схождение,
service,Диагностика,
service,Шиномонтаж,
service,Тормоза,
service,Подвеска и рулевое,
service,Электрика и электроника,
service,Кузовной ремонт,
service,Двигатель и КПП,
service,ТО (техническое обслуживание),
service,Заправка кондиционера,
service,Промывка форсунок,
