make_name,model_name,generation_name,year_from,year_to
ВАЗ,2107,Классика,1982,2012
ВАЗ,2109,Девятка,1987,2011
ВАЗ,2110,Десятка,1996,2014
ВАЗ,2114,2114,2001,2013
ВАЗ,2115,2115,1997,2012
ВАЗ,Приора,Первое поколение,2007,2018
ВАЗ,Гранта,Первое поколение,2011,2024
ВАЗ,Гранта,Второе поколение,2018,2024
ВАЗ,Нива,2121,1977,2021
ВАЗ,Нива Легенд,Легенд,2021,2024
Lada,Priora,First generation,2007,2018
Lada,Granta,First generation,2011,2024
Lada,Vesta,First generation,2015,2024
Lada,Niva,Classic,1977,2021
Lada,Niva Legend,Legend,2021,2024
Lada,Niva Travel,Travel,2021,2024
ГАЗ,Волга,3110,1997,2009
ГАЗ,Волга,31105,2004,2009
ГАЗ,Волга Сайбер,Первое поколение,2008,2010
ГАЗ,Газель,Первое поколение,1994,2010
ГАЗ,Газель,Некст,2013,2024
ГАЗ,Газель Бизнес,Бизнес,2010,2024
УАЗ,Патриот,Первое поколение,2005,2014
УАЗ,Патриот,Рестайлинг,2014,2024
УАЗ,Хантер,Первое поколение,2003,2024
УАЗ,452,Буханка,1965,2024
УАЗ,469,469,1972,2000
УАЗ,3160,3160,1996,2005
Москвич,408,408,1964,1975
Москвич,412,412,1967,1998
Москвич,2140,2140,1976,1988
ЗАЗ,Запорожец,968М,1980,1994
ЗАЗ,Таврия,1102,1988,2007
ЛуАЗ,969,Волынь,1967,2002
